filename,abs_path,source_dir,frames,rows,cols,photometric,bits_stored,pixel_spacing,frame_time,frame_rate,manufacturer,model_name,rescale_intercept,rescale_slope
87,/mnt/pro/DSA/data/ori_data/DICOM1/87,/mnt/pro/DSA/data/ori_data/DICOM1,29,750,750,MONOCHROME2,12,None,,4.0,GE MEDICAL SYSTEMS,DL,0,1
88,/mnt/pro/DSA/data/ori_data/DICOM1/88,/mnt/pro/DSA/data/ori_data/DICOM1,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
89,/mnt/pro/DSA/data/ori_data/DICOM1/89,/mnt/pro/DSA/data/ori_data/DICOM1,43,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
9,/mnt/pro/DSA/data/ori_data/DICOM1/9,/mnt/pro/DSA/data/ori_data/DICOM1,43,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
90,/mnt/pro/DSA/data/ori_data/DICOM1/90,/mnt/pro/DSA/data/ori_data/DICOM1,38,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
91,/mnt/pro/DSA/data/ori_data/DICOM1/91,/mnt/pro/DSA/data/ori_data/DICOM1,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
92,/mnt/pro/DSA/data/ori_data/DICOM1/92,/mnt/pro/DSA/data/ori_data/DICOM1,35,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
93,/mnt/pro/DSA/data/ori_data/DICOM1/93,/mnt/pro/DSA/data/ori_data/DICOM1,46,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
94,/mnt/pro/DSA/data/ori_data/DICOM1/94,/mnt/pro/DSA/data/ori_data/DICOM1,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
95,/mnt/pro/DSA/data/ori_data/DICOM1/95,/mnt/pro/DSA/data/ori_data/DICOM1,44,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
96,/mnt/pro/DSA/data/ori_data/DICOM1/96,/mnt/pro/DSA/data/ori_data/DICOM1,25,1024,1024,MONOCHROME2,10,None,,3.0,Philips,UNIQ Clarity,0,1
97,/mnt/pro/DSA/data/ori_data/DICOM1/97,/mnt/pro/DSA/data/ori_data/DICOM1,47,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
98,/mnt/pro/DSA/data/ori_data/DICOM1/98,/mnt/pro/DSA/data/ori_data/DICOM1,84,1024,1024,MONOCHROME2,10,None,,12.0,Philips,Allura UNIQ,0,1
99,/mnt/pro/DSA/data/ori_data/DICOM1/99,/mnt/pro/DSA/data/ori_data/DICOM1,47,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0001,/autodl-fs/data/Pro/DSA/dicom_all/IM_0001,/autodl-fs/data/Pro/DSA/dicom_all,46,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
IM_0004,/autodl-fs/data/Pro/DSA/dicom_all/IM_0004,/autodl-fs/data/Pro/DSA/dicom_all,25,1024,1024,MONOCHROME2,10,None,,3.0,Philips,UNIQ Clarity,0,1
IM_0007,/autodl-fs/data/Pro/DSA/dicom_all/IM_0007,/autodl-fs/data/Pro/DSA/dicom_all,46,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0014,/autodl-fs/data/Pro/DSA/dicom_all/IM_0014,/autodl-fs/data/Pro/DSA/dicom_all,44,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0019,/autodl-fs/data/Pro/DSA/dicom_all/IM_0019,/autodl-fs/data/Pro/DSA/dicom_all,35,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
IM_0022,/autodl-fs/data/Pro/DSA/dicom_all/IM_0022,/autodl-fs/data/Pro/DSA/dicom_all,52,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0025,/autodl-fs/data/Pro/DSA/dicom_all/IM_0025,/autodl-fs/data/Pro/DSA/dicom_all,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0030,/autodl-fs/data/Pro/DSA/dicom_all/IM_0030,/autodl-fs/data/Pro/DSA/dicom_all,33,1024,1024,MONOCHROME2,10,None,,3.0,Philips,UNIQ Clarity,0,1
IM_0033,/autodl-fs/data/Pro/DSA/dicom_all/IM_0033,/autodl-fs/data/Pro/DSA/dicom_all,21,1024,1024,MONOCHROME2,10,None,,3.0,Philips,UNIQ Clarity,0,1
IM_0036,/autodl-fs/data/Pro/DSA/dicom_all/IM_0036,/autodl-fs/data/Pro/DSA/dicom_all,49,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0043,/autodl-fs/data/Pro/DSA/dicom_all/IM_0043,/autodl-fs/data/Pro/DSA/dicom_all,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
IM_0046,/autodl-fs/data/Pro/DSA/dicom_all/IM_0046,/autodl-fs/data/Pro/DSA/dicom_all,50,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0052,/autodl-fs/data/Pro/DSA/dicom_all/IM_0052,/autodl-fs/data/Pro/DSA/dicom_all,56,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0060,/autodl-fs/data/Pro/DSA/dicom_all/IM_0060,/autodl-fs/data/Pro/DSA/dicom_all,35,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
IM_0063,/autodl-fs/data/Pro/DSA/dicom_all/IM_0063,/autodl-fs/data/Pro/DSA/dicom_all,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
IM_0065,/autodl-fs/data/Pro/DSA/dicom_all/IM_0065,/autodl-fs/data/Pro/DSA/dicom_all,39,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
IM_0068,/autodl-fs/data/Pro/DSA/dicom_all/IM_0068,/autodl-fs/data/Pro/DSA/dicom_all,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
IM_0071,/autodl-fs/data/Pro/DSA/dicom_all/IM_0071,/autodl-fs/data/Pro/DSA/dicom_all,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
IM_0074,/autodl-fs/data/Pro/DSA/dicom_all/IM_0074,/autodl-fs/data/Pro/DSA/dicom_all,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
IM_0077,/autodl-fs/data/Pro/DSA/dicom_all/IM_0077,/autodl-fs/data/Pro/DSA/dicom_all,44,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0080,/autodl-fs/data/Pro/DSA/dicom_all/IM_0080,/autodl-fs/data/Pro/DSA/dicom_all,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0085,/autodl-fs/data/Pro/DSA/dicom_all/IM_0085,/autodl-fs/data/Pro/DSA/dicom_all,49,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0090,/autodl-fs/data/Pro/DSA/dicom_all/IM_0090,/autodl-fs/data/Pro/DSA/dicom_all,25,1024,1024,MONOCHROME2,10,None,,3.0,Philips,Allura UNIQ,0,1
IM_0098,/autodl-fs/data/Pro/DSA/dicom_all/IM_0098,/autodl-fs/data/Pro/DSA/dicom_all,52,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0110,/autodl-fs/data/Pro/DSA/dicom_all/IM_0110,/autodl-fs/data/Pro/DSA/dicom_all,56,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0120,/autodl-fs/data/Pro/DSA/dicom_all/IM_0120,/autodl-fs/data/Pro/DSA/dicom_all,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
IM_0123,/autodl-fs/data/Pro/DSA/dicom_all/IM_0123,/autodl-fs/data/Pro/DSA/dicom_all,53,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0124,/autodl-fs/data/Pro/DSA/dicom_all/IM_0124,/autodl-fs/data/Pro/DSA/dicom_all,47,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0125,/autodl-fs/data/Pro/DSA/dicom_all/IM_0125,/autodl-fs/data/Pro/DSA/dicom_all,52,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0126,/autodl-fs/data/Pro/DSA/dicom_all/IM_0126,/autodl-fs/data/Pro/DSA/dicom_all,51,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0127,/autodl-fs/data/Pro/DSA/dicom_all/IM_0127,/autodl-fs/data/Pro/DSA/dicom_all,51,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
IM_0132,/autodl-fs/data/Pro/DSA/dicom_all/IM_0132,/autodl-fs/data/Pro/DSA/dicom_all,43,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
IM_0135,/autodl-fs/data/Pro/DSA/dicom_all/IM_0135,/autodl-fs/data/Pro/DSA/dicom_all,43,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
IM_0138,/autodl-fs/data/Pro/DSA/dicom_all/IM_0138,/autodl-fs/data/Pro/DSA/dicom_all,26,1024,1024,MONOCHROME2,10,None,,3.0,Philips,UNIQ Clarity,0,1
IM_0140,/autodl-fs/data/Pro/DSA/dicom_all/IM_0140,/autodl-fs/data/Pro/DSA/dicom_all,25,1024,1024,MONOCHROME2,10,None,,3.0,Philips,Allura UNIQ,0,1
IM_0143,/autodl-fs/data/Pro/DSA/dicom_all/IM_0143,/autodl-fs/data/Pro/DSA/dicom_all,25,1024,1024,MONOCHROME2,10,None,,3.0,Philips,Allura UNIQ,0,1
